id,topic,difficulty,concept,question,mediaType,mediaUrl,mediaSource,optionA,optionB,optionC,optionD,correctAnswer,explanation
ct-i-011,Color Theory,Intermediate,Application,What is color isolation?,image,https://d26oc3sg82pgk3.cloudfront.net/files/media/edit/image/49544/article_aligned%402x.png,"""Backstage - The Dark Knight""",Keeping colors apart on set,Separating color channels,Using color selectively in mostly desaturated or monochromatic images,Avoiding color mixing to create distinct color zones,C,"Color isolation uses selective color in predominantly desaturated or monochromatic images, drawing attention to specific elements. 'Schindler's List's' girl in red coat; 'Sin City's' selective color in noir environments; 'Pleasantville's' color appearing in black-and-white world. This technique creates powerful visual metaphors and directs focus."
ct-i-012,Color Theory,Intermediate,Application,How do cultural differences affect color meaning?,image,https://cdn.mos.cms.futurecdn.net/9gDYVvDYHTAPxobwhYC6RA-1920-80.jpg,"""Marie Claire - Mr Queen""",Colors mean the same across all cultures,Color meaning isn't considered in film,Culture doesn't affect color,Color symbolism varies across cultures,D,"Color symbolism varies culturally. White means purity in Western cultures, mourning in some Eastern cultures; red means luck in China, danger in the West. International co-productions consider these differences. While some associations are universal (blue = cool), many are culturally learned. Films made for global markets balance universal color psychology with cultural awareness."
ct-i-013,Color Theory,Intermediate,Application,What is color harmony?,image,https://m.media-amazon.com/images/M/MV5BNmRmMzIzZWItNTA2MC00MjhiLWIyNTYtMzQxNDlmODkxYzIyXkEyXkFqcGc@._V1_FMjpg_UX1920_.jpg,"""IMDb - The Matrix""",Random color selection in a scene,Using only one color in a scene,Arranging colors that work well together,Colors singing together as one,C,"Color harmony creates visually pleasing color arrangements using established relationships (complementary, analogous, triadic). Harmonious colors create aesthetic satisfaction; dissonant colors create tension. Wes Anderson achieves distinctive harmony through careful palette selection. Horror films intentionally use color dissonance. Understanding harmony helps cinematographers create intentional emotional responses."
ct-i-014,Color Theory,Intermediate,Application,What is the role of skin tone in color grading?,image,https://cloudfront.slrlounge.com/wp-content/uploads/2017/09/HBO-Insecure-Yvonne.jpg,"""SLR Lounge - Insecure HBO""",Only lighting affects skin tone,Skin tone has no role in color grading,Skin tones acts as primary reference points,Skin tones are only considered after color grading has been completed,C,Skin tones are the primary reference point in color grading—they must look natural even when the overall image is stylized. Colorists use vectorscopes to ensure skin tones fall in the correct range regardless of ethnicity. Even heavily graded films like 'Mad Max: Fury Road' maintain believable skin tones. Poor skin tone reproduction immediately looks wrong to audiences.
ct-i-015,Color Theory,Intermediate,Application,What is color memory?,image,https://m.media-amazon.com/images/M/MV5BNTJkMTkwNTYtMjQxYS00MTE0LTlhMGYtMzc1ODJiODM4ZjlkXkEyXkFqcGc@._V1_FMjpg_UY2997_.jpg,"""IMDb - The Wizard of Oz""",Color-coded notes used to guide filming,How audiences remember and expect certain objects to appear in specific colors,Remembering colors from the past,A camera's color recording capacity,B,"Color memory is the phenomenon where audiences remember and expect certain objects in specific colors (blue sky, green grass, red stop signs) regardless of actual conditions. If these memory colors are wrong, images feel off even if technically accurate. Colorists often enhance memory colors beyond reality because audiences expect these idealized versions."
ct-a-001,Color Theory,Advanced,Application,What is the color gamut?,image,https://m.media-amazon.com/images/M/MV5BNTJkMTkwNTYtMjQxYS00MTE0LTlhMGYtMzc1ODJiODM4ZjlkXkEyXkFqcGc@._V1_FMjpg_UY2997_.jpg,"""IMDb - The Wizard of Oz""","The range of colors a device can capture, display, or reproduce",The intensity of lighting the camera can capture,The number of colors used in a scene,The temperature of colored lights,A,"Color gamut is the range of colors a device can capture (camera), display (monitor), or reproduce (printer). Different gamuts (Rec.709, DCI-P3, Rec.2020) contain different ranges. Wide-gamut cameras like ARRI Alexa capture more colors than standard displays can show. Understanding gamuts is crucial for ensuring colors are captured, graded, and displayed as intended across different viewing platforms."
ct-a-002,Color Theory,Advanced,Application,What is LUT (Look-Up Table) in color grading?,image,https://lh4.googleusercontent.com/MeRuYNnTjciqt154nfIvcuDJjf5adKiwJfjpMHOzWKkRlIYwuBTXrZl772LWYT7C8IOEhV6-oxjmmLsUdhyOHQy2IVewTKxdZHMgKTBjW38Ee3pGabLJe8LN9RIOzDyi4ZbaSxY737_tbplj6FXmAgA,"""Media Silo - Past Lives""",A type of camera lens,A lighting diagram to guide set up,The mapping of input colors to output colors,A list of crew members,C,"A LUT (Look-Up Table) is a mathematical transformation that maps input color values to output values, converting LOG footage to viewable images or applying creative looks. Camera LUTs interpret LOG profiles; creative LUTs apply specific aesthetics. LUTs are used on-set for monitoring and in post for consistent starting points. They're efficient but less flexible than node-based grading."
ct-a-003,Color Theory,Advanced,Application,What is the Abney effect?,gif,https://upload.wikimedia.org/wikipedia/commons/2/2e/Purkinje_effect.gif,"""Wikipedia""",All colors look the same to some people,Colors change brightness perception,Colors gradually disappear in the darkness,Hue appears to change as saturation changes,D,"The Abney effect is the phenomenon where hue appears to shift as saturation changes, even if the actual hue remains constant. As colors desaturate toward gray, their perceived hue shifts slightly. Colorists must account for this when adjusting saturation levels, as dramatic saturation changes can make colors appear to shift hues unexpectedly, affecting color consistency."
ct-a-004,Color Theory,Advanced,Application,What is color science in digital cinema cameras?,image,https://cdn.mos.cms.futurecdn.net/d4b40bca9f95df7dbf00641da17f10c6-1200-80.jpg,"""Fix The Photo""",The physics of light and their application to colors,The mathematical and perceptual models cameras use to capture and process color,Color temperature measurements,The study of colors in nature,B,"Color science refers to the mathematical and perceptual models cameras use to capture, process, and output color. Each manufacturer (ARRI, RED, Sony) has proprietary color science affecting how colors are rendered. ARRI's Alexa is known for pleasing skin tones; RED's color science emphasizes saturation. Understanding a camera's color science is crucial for achieving desired looks."
ct-a-005,Color Theory,Advanced,Application,What is metamerism in color?,image,https://m.media-amazon.com/images/M/MV5BMDliYjczYTMtNTQ4ZS00ODYxLThkM2MtZDExMzRiMjdiOTYzXkEyXkFqcGc@._V1_FMjpg_UX728_.jpg,"""IMDb - Prisoners""",Colors that always match regardless of the light they're under,Colors that look identical under one light but different under another,Black and white photography,Colors that complement each other,B,"Metamerism occurs when two colors appear identical under one type of lighting but different under another due to different spectral compositions. This is why wardrobe that matches in a fitting room may look different on set. Cinematographers must test materials under actual shooting conditions, as metameric colors can cause continuity issues when lighting conditions change."
ct-a-006,Color Theory,Advanced,Application,What is the vectorscope used for in color grading?,image,https://d26oc3sg82pgk3.cloudfront.net/files/media/edit/image/52777/article_aligned%402x.jpg,"""Backstage - The Revenant""",Measuring light intensity during color grading process,Creating vector graphics to speed up grading process,Directing camera movements to ensure even coloring in scenes,Displaying color information to ensure proper hue and saturation,D,"A vectorscope is a technical display showing color information in polar coordinates, with hue represented by angle and saturation by distance from center. Colorists use vectorscopes to ensure skin tones fall in correct ranges, match shots precisely, and maintain broadcast-legal colors. The vectorscope makes invisible color relationships visible, allowing precise technical control over color."
ct-a-007,Color Theory,Advanced,Application,What is color quantization?,image,https://asset.eyecannndy.com/media/clip/2024/07/05/261720165149.webp,"""Eyecandy - Alright by Victoria Monet""",Brightening all of the colors in an image,Measuring color amounts in an image,Reducing the number of distinct colors in an image,Removing all color in an image,C,"Color quantization reduces the number of distinct colors in an image, either for artistic effect or technical necessity (like GIFs limited to 256 colors). Intentional quantization creates posterization effects seen in stylized work. Unintentional quantization (from heavy compression or extreme grading) creates banding artifacts. Understanding bit depth and color space prevents unwanted quantization."
ct-a-008,Color Theory,Advanced,Definition,What is chromatic adaptation?,image,https://cinematography.com/uploads/monthly_02_2017/post-71957-0-41363000-1486764354_thumb.png,"""cinematography""",Lighting changing intensity of scenes,Colors gradually changing over time,Eyes adjusting to different color temperatures,Cameras automatically adjusting color,C,"Chromatic adaptation is the human visual system's ability to adjust to different color temperatures, perceiving whites as white regardless of light source. Under tungsten light (warm), our brains adapt so we still see white as white. Cameras don't do this automatically—they need white balance. This is why footage straight from camera often looks too warm or cool to our adapted eyes."
ct-a-009,Color Theory,Advanced,Definition,What is color bit depth?,image,https://d26oc3sg82pgk3.cloudfront.net/files/media/edit/image/49544/article_aligned%402x.png,"""Backstage - The Dark Knight""",The vibrance of colors on screen,How saturated colors appear on screen,The number of color values each pixel can represent,The thickness of color filters used on set,C,"Color bit depth determines how many distinct color values each pixel can represent. 8-bit has 256 levels per channel (16.7 million colors); 10-bit has 1024 levels (1.07 billion colors); 12-bit has 4096 levels (68.7 billion colors). Higher bit depth allows smoother gradations, better color grading flexibility, and prevents banding artifacts. Professional cinema typically requires 10-bit minimum."
ct-a-010,Color Theory,Advanced,Application,What is the relationship between color and exposure latitude?,image,https://m.media-amazon.com/images/M/MV5BMDliYjczYTMtNTQ4ZS00ODYxLThkM2MtZDExMzRiMjdiOTYzXkEyXkFqcGc@._V1_FMjpg_UX728_.jpg,"""IMDb - Prisoners""",Color doesn't affect exposure,They're related by brightness,Proper color capture requires adequate exposure ,They're linked by hue and saturation,C,"Exposure latitude (dynamic range) and color are intimately related. Underexposed areas lose color information first, becoming muddy; overexposed areas blow out to white, losing all color. Wide-latitude cameras (like ARRI Alexa) maintain color information across broader exposure ranges, giving colorists more to work with. Understanding this relationship helps cinematographers expose correctly for both tonality and color richness."
ct-a-011,Color Theory,Advanced,Application,What is color space transformation?,image,https://media.greatbigphotographyworld.com/wp-content/uploads/2021/08/Morning-Light.jpg,"""Great Big Photography World""",Moving colored objects to create movement,Changing the size and distribution of colored lights used,Converting color data between different color spaces,Rotating the color wheel 45 degrees to make a color choice,C,"Color space transformation converts color data between different standards (Rec.709, DCI-P3, Rec.2020, etc.). This is necessary when moving from capture to post to distribution, as each stage may use different color spaces. Incorrect transformations cause color shifts, crushed shadows, or clipped highlights. Proper color management ensures colors look consistent across the entire production pipeline."
ct-a-012,Color Theory,Advanced,Application,What is spectral sensitivity in cameras?,image,https://m.media-amazon.com/images/M/MV5BNDZhMzRlNDYtODZkOS00NjBiLTk3NGEtZDI1N2Q3OGViYTQ4XkEyXkFqcGc@._V1_FMjpg_UX1920_.jpg,"""IMDb - Sinners""",How cameras respond in different temperatures,How cameras respond to different sizes of objects,How cameras respond to different wavelengths of light,How cameras respond to different intensities of light,C,"Spectral sensitivity describes how cameras respond to different wavelengths (colors) of light. Film stocks and digital sensors have different spectral sensitivities—some are more sensitive to reds, others to blues. This affects color rendering and why different cameras capture the same scene differently. Understanding spectral sensitivity helps cinematographers choose cameras and filters for desired color characteristics."
ct-a-013,Color Theory,Advanced,Application,What is color fringing?,gif,https://asset.eyecannndy.com/media/clip/2024/03/22/261711139747.webp,"""Eyecandy - Charmander by Amine""",A phenomemon that causes color halos at high-contrast edges,A method used for color blending,A method used for mixing colors,A phenomemon that causes color halos at low-contrast edges,A,"Color fringing (chromatic aberration) creates colored halos at high-contrast edges where different wavelengths of light focus at slightly different points. Caused by lens imperfections, it appears as purple/green or red/cyan halos. Modern lenses minimize this, and post-production software can remove it. However, some cinematographers intentionally use vintage lenses with characteristic fringing for specific looks."
ct-a-014,Color Theory,Advanced,Definition,What is the Bezold effect in color perception?,image,https://m.media-amazon.com/images/M/MV5BNzYwMTQ1ODY1MV5BMl5BanBnXkFtZTgwMTU5NDc5OTE@._V1_FMjpg_UX2160_.jpg,"""IMDb - Moonlight""",Primary colors mixing to create secondary colors,Temperature affecting how we perceive a color,Surrounding colors affect how we perceive a color,Brightness affecting how hue is perceived,C,The Bezold effect describes how surrounding colors dramatically affect our perception of a given color. The same color looks different depending on what's around it. Cinematographers use this principle when designing color palettes—a color that works in isolation may read differently in context. Production designers consider adjacent colors carefully to achieve intended emotional and visual effects.
ct-a-015,Color Theory,Advanced,Application,What is color management in the production pipeline?,image,https://m.media-amazon.com/images/M/MV5BNTJkMTkwNTYtMjQxYS00MTE0LTlhMGYtMzc1ODJiODM4ZjlkXkEyXkFqcGc@._V1_FMjpg_UY2997_.jpg,"""IMDb - The Wizard of Oz""","Mapping out the use of colors throughout the shoot - props, lights, etc",Ensuring consistent color reproduction from capture through post to distribution,Employing colorist professionals to ensure consistency throughout shoots,Organizing color swatches and samples for the entire crew,B,"Color management ensures consistent, predictable color reproduction throughout the production pipeline from camera to monitor to post to final delivery. This involves camera color profiles, calibrated monitors, proper color space transformations, and understanding how colors will appear across different viewing platforms (theatrical, broadcast, streaming, HDR/SDR). Poor color management results in colors looking different than intended on audience screens."
ts-b-001,Types of Shots,Beginner,Identification,What type of shot is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Extreme-Long-Shot.gif,"""Wolfcrow""",Full shot,Extreme close up,Extreme wide shot,Cowboy shot,C,"Extreme Wide Shot shows vast landscapes or environments with subjects appearing small, emphasizing scale, isolation, or insignificance. Used to establish epic scope or show characters dwarfed by their surroundings. Opening shots of 'Lord of the Rings' or desert landscapes in 'Lawrence of Arabia' are classic extreme wide shots."
ts-b-002,Types of Shots,Beginner,Identification,What type of shot is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Long-shot.gif,"""Wolfcrow""",Extreme wide shot,Full shot,POV,Wide / long shot,D,"Wide/Long shot shows subject head to toe with substantial environment visible, establishing location and spatial relationships. Opening shots often use wide shots to establish setting before cutting closer. Epic films use wide shots to show scale—think Lawrence of Arabia crossing the desert."
ts-b-003,Types of Shots,Beginner,Identification,What type of shot is this?,image,https://blog.filmustage.com/content/images/2024/08/camsh1.jpg,"""Filmustage - The Searchers (1956)""",Wide shot,Cowboy shot,Master shot,Full shot,B,"Cowboy shot (American shot) frames from mid-thigh up, originating in westerns to show gunfighters' holsters. The framing ensures guns are visible while maintaining focus on actors' faces and upper bodies. Sergio Leone popularized this for standoffs in spaghetti westerns, making it iconic in the genre."
ts-b-004,Types of Shots,Beginner,Identification,What type of shot is this?,image,https://asset.eyecannndy.com/media/clip/2024/05/13/261715633646.webp,"""Eyecandy - White Noise by French Cassettes""",Wide shot,Full shot,Medium shot,POV,B,"Full shot shows the subject from head to toe within the frame. It reveals full body language, costume details, and physical performance while maintaining character as the focus. Westerns use full shots to show gunfighters' complete stances and holsters, essential for the genre's visual language."
ts-b-005,Types of Shots,Beginner,Identification,What type of shot is this?,video,https://www.cadrage.app/wp-content/uploads/2022/08/03_shot-sizes_MWS.jpg,"""Cadrage App""",Medium wide shot,Close up,Wide shot,Establishing shot,A,A medium wide shot aka a medium long shot frames the subject from roughly the knees up. It splits the difference between a full shot and a medium shot.
ts-b-006,Types of Shots,Beginner,Identification,What type of shot is this?,image,https://asset.eyecannndy.com/media/clip/2024/01/10/261704861260.webp,"""Eyecandy - D.M.B. by A$AP Rocky""",Full shot,Medium close up,Medium shot,Wide shot,B,"The medium close-up frames your subject from roughly the chest up. So it typically favors the face, but still keeps the subject somewhat distant. The medium close-up camera shot size keeps the characters eerily distant even during their face-to-face conversation."
ts-b-007,Types of Shots,Beginner,Identification,What type of shot is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Medium-Shot-.gif,"""Wolfcrow""",Establishing shot,Wide shot,Medium shot,Full shot,C,"Medium shot frames from waist up, balancing the character and their environment. It's the most common shot in narrative filmmaking because it shows body language while keeping facial expressions visible. Conversations, character interactions, and general coverage often use medium shots as they're versatile and natural-looking."
ts-b-008,Types of Shots,Beginner,Identification,What type of shot is this?,image,https://asset.eyecannndy.com/media/clip/2023/12/24/261703455410.webp,"""Eyecandy - Severance""",POV,Medium shot,Extreme close up,Close up,D,"Close-up frames the subject's head and shoulders, filling the screen to capture emotions and reactions. Essential for showing character feelings, reactions, and intimate moments. Alfred Hitchcock used close-ups masterfully to show psychological states, as seen in the shower scene in 'Psycho' with Janet Leigh's terrified face."
ts-b-009,Types of Shots,Beginner,Identification,What type of shot is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Extreme-close-up-1-1.gif,"""Wolfcrow""",Extreme wide shot,Extreme close up,Close up,Medium shot,B,"Extreme Close-Up shows tiny details such as eyes, lips, hands, or objects. It creates intimacy, tension, or emphasizes important details. Sergio Leone's westerns famously use ECUs (Italian Shots) of eyes in standoffs. The Dollars Trilogy and spaghetti westerns made this shot iconic for building suspense."
ts-b-010,Types of Shots,Beginner,Identification,What type of shot is this?,image,https://nofilmschool.com/media-library/reaction-shot-of-marion-crane-played-by-janet-leigh-screaming-in-the-shower-in-psycho.png?id=34068564&width=1100&quality=50,"""NoFilmSchool - Psycho""",Reaction shot,Full shot,Medium shot,Close up,A,Reaction shot shows a character's response to what they've just seen or heard. Essential for showing emotional impact and guiding audience responses. Kuleshov Effect demonstrates how reaction shots create meaning—the same neutral face appears to show different emotions based on what it follows.
ts-b-011,Types of Shots,Beginner,Identification,What type of shot is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Establishing-Shot-.gif,"""Wolfcrow""",Full shot,Extreme wide shot,Establishing shot,Wide shot,C,"Establishing shot (typically wide) shows location and spatial context, orienting the audience to where and when the scene takes place. Usually the first shot of a sequence, it answers 'where are we?' Every location change needs an establishing shot so audiences aren't confused about setting."
ts-b-012,Types of Shots,Beginner,Identification,What type of shot is this?,image,https://asset.eyecannndy.com/media/clip/2024/03/09/261710023963.webp,"""Eyecandy - The Gentlemen""",Close up,POV,Medium shot,Over the shoulder,D,"Over-the-shoulder shot frames from behind one person's shoulder to show the person they're facing. Essential for dialogue scenes, it establishes spatial relationships and maintains screen direction. The shoulder/back of head in foreground provides context and depth while keeping focus on the person speaking or listening."
ts-b-013,Types of Shots,Beginner,Identification,What type of shot is this?,image,https://nofilmschool.com/media-library/pov-shot-of-captain-koons-played-by-christopher-walken-talking-to-a-child-in-pulp-fiction.jpg?id=34068565&width=1480&quality=50,"""NoFilmSchool - Pulp Fiction""",Wide shot,POV,Over the shoulder,Medium shot,B,"POV shot shows what a specific character sees from their visual perspective, putting the audience directly in that character's position. This creates subjectivity and intimacy, making viewers experience the scene through the character's eyes. 'Halloween' uses POV extensively to put audiences in the killer's perspective."
ts-b-014,Types of Shots,Beginner,Identification,What type of shot is this?,image,https://gmhsart.weebly.com/uploads/6/4/9/6/6496393/published/screen-shot-2018-02-14-at-3-36-35-pm.png?1518640683,"""gmhsart - Stranger Things""",Two shot,Single shot,Three shot,Four shot,C,A three-shot features three characters in the frame.
ts-b-015,Types of Shots,Beginner,Definition,What does an Extreme Close-Up (ECU) show?,image,https://asset.eyecannndy.com/media/clip/2024/07/13/261720914443.webp,"""Eyecandy - Bubble Bath by AJ Tracey""",Small details like eyes or mouth,The entire scene,A wide landscape,The full body,A,"Extreme Close-Up shows tiny details such as eyes, lips, hands, or objects. It creates intimacy, tension, or emphasizes important details. Sergio Leone's westerns famously use ECUs (Italian Shots) of eyes in standoffs. The Dollars Trilogy and spaghetti westerns made this shot iconic for building suspense."
ts-b-016,Types of Shots,Beginner,Definition,What does a Close-Up (CU) frame?,image,https://asset.eyecannndy.com/media/clip/2024/01/13/261705107010.webp,"""Eyecandy - Us""",Just hands,Head and shoulders filling the frame,Full body,Waist up,B,"Close-up frames the subject's head and shoulders, filling the screen to capture emotions and reactions. Essential for showing character feelings, reactions, and intimate moments. Alfred Hitchcock used close-ups masterfully to show psychological states, as seen in the shower scene in 'Psycho' with Janet Leigh's terrified face."
ts-b-017,Types of Shots,Beginner,Definition,What is shown in a Medium Shot (MS)?,image,https://wolfcrow.com/wp-content/uploads/2021/03/Medium-Shot-.gif,"""Wolfcrow""",From waist up,Full body head to toe,Only the face,Just the hands,A,"Medium shot frames from waist up, balancing the character and their environment. It's the most common shot in narrative filmmaking because it shows body language while keeping facial expressions visible. Conversations, character interactions, and general coverage often use medium shots as they're versatile and natural-looking."
ts-b-018,Types of Shots,Beginner,Definition,What does a Full Shot (FS) show?,image,https://asset.eyecannndy.com/media/clip/2024/05/13/261715633646.webp,"""Eyecandy - White Noise by French Cassettes""",Background only,Waist up,Subject from head to toe,Just the head,C,"Full shot shows the subject from head to toe within the frame. It reveals full body language, costume details, and physical performance while maintaining character as the focus. Westerns use full shots to show gunfighters' complete stances and holsters, essential for the genre's visual language."
ts-b-019,Types of Shots,Beginner,Definition,What is a Wide Shot (WS) or Long Shot (LS)?,image,https://wolfcrow.com/wp-content/uploads/2021/03/Long-shot.gif,"""Wolfcrow""",Extreme close-up of the subject,Subject head to toe with significant environment visible,Subject head to waist with significant environment visible,Only background behind the subject is visible,B,"Wide/Long shot shows subject head to toe with substantial environment visible, establishing location and spatial relationships. Opening shots often use wide shots to establish setting before cutting closer. Epic films use wide shots to show scale—think Lawrence of Arabia crossing the desert."
ts-b-020,Types of Shots,Beginner,Definition,What is an Extreme Wide Shot (EWS) used for?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Extreme-Long-Shot.gif,"""Wolfcrow""",Medium framing of the subject,Close details of elements in the frame,Showing vast scale and scope,Focusing on faces,C,"Extreme Wide Shot shows vast landscapes or environments with subjects appearing small, emphasizing scale, isolation, or insignificance. Used to establish epic scope or show characters dwarfed by their surroundings. Opening shots of 'Lord of the Rings' or desert landscapes in 'Lawrence of Arabia' are classic extreme wide shots."
ts-b-021,Types of Shots,Beginner,Definition,What is an Establishing Shot?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Establishing-Shot-.gif,"""Wolfcrow""",A medium shot of a character,A close-up of a character,An abstract shot to intrigue viewers,A wide shot that shows location and context,D,"Establishing shot (typically wide) shows location and spatial context, orienting the audience to where and when the scene takes place. Usually the first shot of a sequence, it answers 'where are we?' Every location change needs an establishing shot so audiences aren't confused about setting."
ts-b-022,Types of Shots,Beginner,Definition,What is an Insert Shot?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/55-The-Insert-Shot.gif,"""Wolfcrow""",A tracking shot of a character,A close-up of an object or detail,A medium shot of a character,A wide landscape,B,"Insert shot is a close-up of an object or detail cut into a scene to show important information—a clock showing time, a photograph, a written note, or a weapon. These shots provide crucial information or emphasize significant objects. Hitchcock used insert shots of keys, glasses of milk, and other objects loaded with meaning."
ts-b-023,Types of Shots,Beginner,Definition,What is an Over-the-Shoulder (OTS) shot?,image,https://asset.eyecannndy.com/media/clip/2024/03/09/261710023963.webp,"""Eyecandy - The Gentlemen""",Shooting from above the subject,Framing over one person's shoulder to show another person,Shooting from below the subject,A side angle view of the subject,B,"Over-the-shoulder shot frames from behind one person's shoulder to show the person they're facing. Essential for dialogue scenes, it establishes spatial relationships and maintains screen direction. The shoulder/back of head in foreground provides context and depth while keeping focus on the person speaking or listening."
ts-b-024,Types of Shots,Beginner,Definition,What is a  Single Shot?,image,https://asset.eyecannndy.com/media/clip/2024/01/16/261705386353.webp,"""Eyecandy - Moonlight""",One person in a frame alone,One camera angle,One shot followed by another,Only one camera filming,A,A single shot captures only one subject
ts-b-025,Types of Shots,Beginner,Definition,What is a Two-Shot?,image,https://asset.eyecannndy.com/media/clip/2023/12/24/261703455410.webp,"""Eyecandy - Severance""",Two different camera angles,Two people framed together in one shot,Two sequential shots,Two cameras filming simultaneously,B,"Two-shot frames two people together in the same frame, showing their relationship, interaction, and relative positions. Common in dialogue scenes and establishing character relationships. 'Casablanca' uses two-shots beautifully to show the connection between Rick and Ilsa, visually conveying their romantic relationship."
ts-b-026,Types of Shots,Beginner,Definition,What is a Point-of-View (POV) shot?,image,https://nofilmschool.com/media-library/pov-shot-of-captain-koons-played-by-christopher-walken-talking-to-a-child-in-pulp-fiction.jpg?id=34068565&width=1480&quality=50,"""NoFilmSchool - Pulp Fiction""",Shot from above the scene,Shot from camera operator's perspective,Shot showing the view from an object,Shot showing what a character sees from their perspective,D,"POV shot shows what a specific character sees from their visual perspective, putting the audience directly in that character's position. This creates subjectivity and intimacy, making viewers experience the scene through the character's eyes. 'Halloween' uses POV extensively to put audiences in the killer's perspective."
ts-b-027,Types of Shots,Beginner,Definition,What is a Cowboy Shot?,image,https://blog.filmustage.com/content/images/2024/08/camsh1.jpg,"""Filmustage - The Searchers (1956)""","Shot taken from mid-thigh up, showing holsters",Shot taken in western landscapes,Shot taken of cowboys,Shot taken on horseback,A,"Cowboy shot (American shot) frames from mid-thigh up, originating in westerns to show gunfighters' holsters. The framing ensures guns are visible while maintaining focus on actors' faces and upper bodies. Sergio Leone popularized this for standoffs in spaghetti westerns, making it iconic in the genre."
ts-b-028,Types of Shots,Beginner,Definition,What is a Reaction Shot?,image,https://nofilmschool.com/media-library/reaction-shot-of-marion-crane-played-by-janet-leigh-screaming-in-the-shower-in-psycho.png?id=34068564&width=1100&quality=50,"""NoFilmSchool - Psycho""",The first shot of a scene,Shot showing a character's response to action or dialogue,Shot showing the progression of a chemical reaction,The final shot of a scene,B,Reaction shot shows a character's response to what they've just seen or heard. Essential for showing emotional impact and guiding audience responses. Kuleshov Effect demonstrates how reaction shots create meaning—the same neutral face appears to show different emotions based on what it follows.
ts-b-029,Types of Shots,Beginner,Definition,What is a Master Shot?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/63-The-Tracking-Shot.gif,"""Wolfcrow""",The final shot that is edited and released,A wide continuous shot covering an entire scene,The director's cut of a shot,The first shot filmed on set,B,"Master shot is a wide, continuous shot covering an entire scene from start to finish, establishing geography and action flow. It serves as coverage foundation; editors cut to closer shots but can always return to the master for spatial orientation. Classical Hollywood shooting begins with masters, then covers with closer angles."
ts-b-030,Types of Shots,Beginner,Definition,What is a Cutaway Shot?,video,https://www.youtube.com/watch?v=Bdwh3_lVVyY,"""Youtube - Family Guy""",Switching between two close-up shots,Cutting to the credits at the end,Cutting to a different location or action temporarily,Parts of scenes that have been removed in post-prodution,C,"Cutaway shot temporarily cuts away from main action to show something else related—another character's reaction, a relevant object, or parallel action. Useful for compressing time, hiding edits, or showing simultaneous events. 'The Godfather' cutaways between the baptism and murders create powerful parallel meaning."
ts-i-001,Types of Shots,Intermediate,Definition,What is a Dutch Angle (Canted Angle)?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/Dutch-Angle-.gif,"""Wolfcrow""",Shot in the Netherlands,Shot between crisscrossing ropes,Shot with the camera tilted to create diagonal horizon line,Shot from directly above,C,"Dutch angle (canted angle) tilts the camera so the horizon is diagonal, creating visual unease, disorientation, or instability. Used in psychological thrillers, horror, and moments of crisis or madness. 'The Third Man' and 'Battlefield Earth' (overused) demonstrate Dutch angles creating psychological tension and visual dynamism."
ts-i-002,Types of Shots,Intermediate,Definition,What is a Dolly Zoom (Vertigo Effect)?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/The-Dolly-Shot.gif,"""Wolfcrow""","Camera dollies forward while zooming out (or vice versa), distorting perspective",Camera rotates while zooming in or out,Digital zoom effect on a subject,Handheld zoom shot of a scene,A,"Dolly zoom (Vertigo Effect, contra-zoom) dollies the camera in one direction while simultaneously zooming in the opposite direction. The subject stays the same size but the background dramatically expands or contracts, creating disorientation. Hitchcock invented this for 'Vertigo' to convey acrophobia—now used for shock, realization, or psychological moments."
ts-i-003,Types of Shots,Intermediate,Identification,What type of camera movement is this?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/58-The-Ehip-Pan-or-Swish-Pan-Movement.gif,"""Wolfcrow""",Aerial shot,Whip tilt,Crash zoom,Whip pan,D,When the camera pans left or right at a high speed creating streaks of motion blur. This technique has been used innumerable times to hide cuts within the scene and make it look like the scene has been shot in one take. The most famous use of the whip pan in modern filmmaking would be by Damien Chazelle in Whiplash and La La Land.   
ts-i-004,Types of Shots,Intermediate,Definition,What is a Whip Pan?,gif,https://wolfcrow.com/wp-content/uploads/2021/03/58-The-Ehip-Pan-or-Swish-Pan-Movement.gif,"""Wolfcrow""",Slow gentle pan,Extremely fast pan creating motion blur between shots,Pan upward,Pan in a circle,B,"Whip pan is an extremely fast horizontal camera movement creating motion blur, used as a dynamic transition between shots or to show frantic action. Wes Anderson, Edgar Wright, and Sam Raimi use whip pans for energetic pacing. It creates kinetic energy and can disorient or excite audiences depending on context."
